Создан как новый массив данных;Образец 1522 полученный PEService Дата пятница, декабря 01 2023
cm-1;%T
3189,00;100,78
3188,00;100,78
3187,00;100,78
3186,00;100,78
3185,00;100,78
3184,00;100,78
3183,00;100,78
3182,00;100,78
3181,00;100,78
3180,00;100,78
3179,00;100,78
3178,00;100,78
3177,00;100,78
3176,00;100,78
3175,00;100,78
3174,00;100,78
3173,00;100,78
3172,00;100,78
3171,00;100,79
3170,00;100,79
3169,00;100,79
3168,00;100,79
3167,00;100,79
3166,00;100,79
3165,00;100,79
3164,00;100,79
3163,00;100,79
3162,00;100,79
3161,00;100,79
3160,00;100,79
3159,00;100,79
3158,00;100,79
3157,00;100,80
3156,00;100,80
3155,00;100,80
3154,00;100,80
3153,00;100,80
3152,00;100,80
3151,00;100,80
3150,00;100,80
3149,00;100,80
3148,00;100,80
3147,00;100,80
3146,00;100,80
3145,00;100,80
3144,00;100,80
3143,00;100,80
3142,00;100,80
3141,00;100,80
3140,00;100,80
3139,00;100,80
3138,00;100,80
3137,00;100,80
3136,00;100,80
3135,00;100,80
3134,00;100,80
3133,00;100,80
3132,00;100,80
3131,00;100,80
3130,00;100,80
3129,00;100,80
3128,00;100,80
3127,00;100,80
3126,00;100,80
3125,00;100,80
3124,00;100,80
3123,00;100,80
3122,00;100,80
3121,00;100,80
3120,00;100,80
3119,00;100,80
3118,00;100,80
3117,00;100,80
3116,00;100,80
3115,00;100,79
3114,00;100,79
3113,00;100,79
3112,00;100,79
3111,00;100,79
3110,00;100,79
3109,00;100,78
3108,00;100,78
3107,00;100,78
3106,00;100,78
3105,00;100,77
3104,00;100,77
3103,00;100,77
3102,00;100,77
3101,00;100,77
3100,00;100,77
3099,00;100,76
3098,00;100,76
3097,00;100,76
3096,00;100,76
3095,00;100,76
3094,00;100,76
3093,00;100,76
3092,00;100,76
3091,00;100,76
3090,00;100,76
3089,00;100,76
3088,00;100,76
3087,00;100,76
3086,00;100,76
3085,00;100,76
3084,00;100,76
3083,00;100,76
3082,00;100,76
3081,00;100,76
3080,00;100,76
3079,00;100,76
3078,00;100,76
3077,00;100,76
3076,00;100,76
3075,00;100,76
3074,00;100,76
3073,00;100,76
3072,00;100,76
3071,00;100,75
3070,00;100,75
3069,00;100,75
3068,00;100,76
3067,00;100,76
3066,00;100,76
3065,00;100,76
3064,00;100,75
3063,00;100,75
3062,00;100,75
3061,00;100,75
3060,00;100,75
3059,00;100,75
3058,00;100,75
3057,00;100,75
3056,00;100,74
3055,00;100,74
3054,00;100,74
3053,00;100,74
3052,00;100,73
3051,00;100,73
3050,00;100,73
3049,00;100,73
3048,00;100,73
3047,00;100,72
3046,00;100,72
3045,00;100,72
3044,00;100,71
3043,00;100,71
3042,00;100,71
3041,00;100,70
3040,00;100,70
3039,00;100,69
3038,00;100,69
3037,00;100,68
3036,00;100,68
3035,00;100,67
3034,00;100,67
3033,00;100,66
3032,00;100,65
3031,00;100,64
3030,00;100,63
3029,00;100,62
3028,00;100,61
3027,00;100,59
3026,00;100,58
3025,00;100,56
3024,00;100,54
3023,00;100,51
3022,00;100,48
3021,00;100,45
3020,00;100,41
3019,00;100,36
3018,00;100,31
3017,00;100,25
3016,00;100,18
3015,00;100,10
3014,00;100,02
3013,00;99,94
3012,00;99,86
3011,00;99,80
3010,00;99,74
3009,00;99,69
3008,00;99,65
3007,00;99,61
3006,00;99,57
3005,00;99,51
3004,00;99,43
3003,00;99,34
3002,00;99,24
3001,00;99,13
3000,00;99,02
2999,00;98,93
2998,00;98,86
2997,00;98,81
2996,00;98,79
2995,00;98,78
2994,00;98,77
2993,00;98,77
2992,00;98,76
2991,00;98,74
2990,00;98,72
2989,00;98,70
2988,00;98,66
2987,00;98,62
2986,00;98,58
2985,00;98,52
2984,00;98,45
2983,00;98,37
2982,00;98,27
2981,00;98,15
2980,00;98,03
2979,00;97,91
2978,00;97,81
2977,00;97,74
2976,00;97,71
2975,00;97,73
2974,00;97,78
2973,00;97,86
2972,00;97,95
2971,00;98,04
2970,00;98,14
2969,00;98,25
2968,00;98,36
2967,00;98,49
2966,00;98,63
2965,00;98,76
2964,00;98,90
2963,00;99,02
2962,00;99,12
2961,00;99,22
2960,00;99,29
2959,00;99,36
2958,00;99,41
2957,00;99,45
2956,00;99,48
